"Date",Gross $,Customers
20100614,450.14,71
20100615,371.75,62
20100616,632.57,82
20100617,530.49,82
20100618,337.71,42
20100619,393.76,66
20100620,438.34,61
20100621,611.00,87
20100622,612.76,82
20100623,548.05,72
20100624,613.02,78
20100625,453.34,71
20100626,351.08,53
20100627,511.48,81
20100628,752.22,96
20100629,808.08,83
20100630,504.84,75
20100701,620.49,72
20100702,546.15,77
20100703,412.24,56
20100704,508.76,64
20100705,524.62,67
20100706,455.16,73
20100707,562.43,74
20100708,621.78,86
20100709,386.98,67
20100710,468.07,61
20100711,544.87,68
20100712,663.97,85
20100713,700.53,91
20100714,450.72,78
20100715,604.89,82
20100716,430.91,57
20100717,377.72,53
20100718,704.34,84
20100719,513.35,78
20100720,510.50,70
20100721,561.37,86
20100722,721.48,93
20100723,250.85,43
20100724,406.70,69
20100725,539.70,74
20100726,521.99,69
20100727,540.01,86
20100728,529.30,76
20100729,489.15,71
20100730,406.83,62
20100731,469.44,72
20100801,526.28,80
20100802,544.26,73
20100803,511.74,60
20100804,535.57,79
20100805,529.46,79
20100806,612.06,93
20100807,655.92,84
20100808,639.93,80
20100809,503.59,83
20100810,549.37,80
20100811,464.36,70
20100812,526.38,84
20100813,507.92,75
20100814,543.70,68
20100815,517.05,67
20100816,594.14,87
20100817,492.20,69
20100818,389.66,69
20100819,552.93,76
20100820,406.47,72
20100821,338.46,50
20100822,591.54,88
20100823,634.68,80
20100824,497.36,74
20100825,458.25,72
20100826,539.49,77
20100827,392.16,56
20100828,264.12,51
20100829,682.71,83
20100830,476.19,75
20100831,529.25,70
20100901,485.60,75
20100902,694.45,91
20100903,411.42,63
20100904,381.83,65
20100905,228.53,44
20100906,603.89,69
20100907,611.28,85
20100908,485.69,70
20100909,509.20,59
20100910,458.28,66
20100911,462.03,60
20100912,455.84,60
20100913,693.90,77
20100914,604.30,86
20100915,597.53,78
20100916,533.80,71
20100917,514.78,79
20100918,487.96,67
20100919,494.95,71
20100920,461.62,74
20100921,643.98,71
20100922,480.14,79
20100923,497.94,66
20100924,567.61,79
20100925,467.79,77
20100926,660.56,91
20100927,692.78,96
20100928,714.12,89
20100929,498.82,87
20100930,476.73,71
20101001,497.24,71
20101002,429.07,57
20101003,624.39,81
20101004,598.08,79
20101005,642.34,95
20101006,371.00,69
20101007,465.36,76
20101008,568.20,70
20101009,569.19,67
20101010,468.26,69
20101011,577.67,80
20101012,699.02,82
20101013,525.70,67
20101014,414.54,63
20101015,429.03,68
20101016,497.53,76
20101017,476.47,75
20101018,536.03,82
20101019,737.88,96
20101020,699.18,86
20101021,715.42,73
20101022,433.87,69
20101023,512.40,70
20101024,432.42,64
20101025,737.13,80
20101026,533.83,86
20101027,527.68,76
20101028,569.76,76
20101029,395.38,64
20101030,401.53,66
20101031,698.26,82
20101101,692.74,89
20101102,606.12,76
20101103,534.30,85
20101104,628.10,77
20101105,465.99,52
20101106,778.61,80
20101107,617.48,88
20101108,646.19,81
20101109,615.82,75
20101110,556.23,86
20101111,565.30,79
20101112,352.47,62
20101113,473.56,62
20101114,465.67,65
20101115,821.70,98
20101116,601.50,79
20101117,660.12,81
20101118,563.22,67
20101119,500.46,73
20101120,468.43,56
20101121,462.15,65
20101122,496.19,62
20101123,585.99,70
20101124,532.94,63
20101125,70.06,8
20101126,275.78,38
20101127,257.21,49
20101128,529.96,61
20101129,469.35,72
20101130,533.27,77
20101201,620.60,80
20101202,524.65,71
20101203,540.43,73
20101204,295.23,49
20101205,493.99,57
20101206,542.16,76
20101207,599.82,79
20101208,530.75,58
20101209,400.82,57
20101210,480.23,62
20101211,317.50,41
20101212,478.20,43
20101213,387.03,56
20101214,456.99,57
20101215,405.76,55
20101216,453.87,55
20101217,377.13,48
20101218,250.62,40
20101219,347.37,43
20101220,388.86,52
20101221,335.84,42
20101222,354.94,45
20101223,352.10,45
20101224,25.86,7
20101225,90.33,8
20101226,180.11,24
20101227,359.75,35
20101228,379.81,43
20101229,291.65,41
20101230,365.27,49
20101231,321.80,46
20110101,271.25,44
20110102,521.16,62
20110103,752.67,75
20110104,528.62,56
20110105,535.09,69
20110106,656.50,76
20110107,453.16,57
20110108,417.97,54
20110109,562.98,68
20110110,497.60,67
20110111,534.17,70
20110112,496.02,67
20110113,735.50,74
20110114,631.34,79
20110115,424.88,59
20110116,538.86,56
20110117,573.30,77
20110118,471.92,69
20110119,626.33,83
20110120,600.20,56
20110121,558.70,72
20110122,388.76,62
20110123,533.55,62
20110124,542.45,78
20110125,500.74,70
20110126,622.80,76
20110127,432.68,64
20110128,544.97,72
20110129,467.78,65
20110130,625.64,69
20110131,998.97,92
20110201,604.40,67
20110202,527.41,66
20110203,571.47,64
20110204,476.72,65
20110205,585.09,71
20110206,316.60,45
20110207,806.26,87
20110208,640.54,75
20110209,593.46,80
20110210,530.65,68
20110211,590.37,65
20110212,575.53,70
20110213,550.05,65
20110214,642.16,87
20110215,464.46,59
20110216,409.07,57
20110217,589.17,73
20110218,511.39,71
20110219,576.22,80
20110220,600.84,78
20110221,799.29,87
20110222,640.44,79
20110223,726.27,92
20110224,554.32,60
20110225,662.12,96
20110226,433.38,55
20110227,560.39,73
20110228,771.83,88
20110301,1027.98,107
20110302,531.44,84
20110303,784.75,78
20110304,513.89,60
20110305,517.14,63
20110306,498.56,69
20110307,559.29,76
20110308,702.47,82
20110309,435.72,64
20110310,716.60,89
20110311,557.27,70
20110312,517.06,80
20110313,645.00,85
20110314,674.34,99
20110315,731.24,86
20110316,649.62,104
20110317,572.72,92
20110318,588.58,74
20110319,539.35,69
20110320,483.00,62
20110321,0.00,0
20110322,13.75,1
20110323,721.23,87
20110324,686.80,78
20110325,575.59,65
20110326,451.32,68
20110327,639.00,75
20110328,748.86,104
20110329,750.92,94
20110330,671.80,90
20110331,653.84,89
20110401,385.08,54
20110402,713.79,79
20110403,619.26,86
20110404,1051.41,120
20110405,719.26,90
20110406,637.60,96
20110407,920.61,97
20110408,555.05,71
20110409,700.81,102
