"Date",Gross $,Customers
20100614,62.62,14
20100615,49.13,5
20100616,41.81,9
20100617,94.69,10
20100618,46.50,8
20100619,9.50,3
20100620,56.59,10
20100621,81.18,10
20100622,49.90,7
20100623,87.72,13
20100624,89.93,14
20100625,46.29,11
20100626,61.77,12
20100627,77.56,15
20100628,129.26,8
20100629,50.64,9
20100630,16.56,6
20100701,75.40,11
20100702,93.51,14
20100703,71.34,4
20100704,23.40,8
20100705,37.34,7
20100706,17.50,6
20100707,37.03,7
20100708,117.30,14
20100709,19.19,8
20100710,34.49,8
20100711,46.75,6
20100712,18.41,6
20100713,32.25,7
20100714,53.79,9
20100715,28.99,4
20100716,153.93,16
20100717,132.90,21
20100718,65.27,9
20100719,71.94,11
20100720,56.97,12
20100721,53.17,6
20100722,51.11,10
20100723,31.99,4
20100724,41.55,6
20100725,32.06,5
20100726,83.65,12
20100727,52.05,10
20100728,91.47,14
20100729,43.12,6
20100730,79.62,10
20100731,57.85,12
20100801,47.48,12
20100802,93.19,13
20100803,50.69,7
20100804,102.38,15
20100805,19.98,6
20100806,66.25,12
20100807,73.24,14
20100808,92.94,15
20100809,42.26,10
20100810,56.55,7
20100811,135.63,18
20100812,52.40,11
20100813,33.90,8
20100814,61.67,12
20100815,16.25,5
20100816,28.03,5
20100817,27.25,8
20100818,49.00,4
20100819,26.43,4
20100820,86.01,16
20100821,45.94,9
20100822,43.04,9
20100823,34.25,7
20100824,50.83,11
20100825,73.61,9
20100826,129.35,14
20100827,61.32,12
20100828,31.75,8
20100829,114.78,12
20100830,132.23,17
20100831,8.56,4
20100901,27.09,5
20100902,145.43,13
20100903,23.40,5
20100904,33.24,6
20100905,5.89,1
20100906,71.40,5
20100907,27.03,7
20100908,31.03,6
20100909,30.12,6
20100910,44.78,5
20100911,63.65,8
20100912,9.18,2
20100913,18.43,7
20100914,77.88,16
20100915,65.80,12
20100916,52.90,12
20100917,77.29,17
20100918,67.79,5
20100919,26.00,7
20100920,65.26,9
20100921,45.68,9
20100922,53.76,8
20100923,102.72,22
20100924,128.72,12
20100925,35.74,5
20100926,35.75,5
20100927,76.24,14
20100928,73.08,14
20100929,54.59,8
20100930,111.27,10
20101001,99.12,16
20101002,46.45,10
20101003,52.29,5
20101004,98.70,20
20101005,46.08,3
20101006,51.54,9
20101007,59.37,10
20101008,119.08,16
20101009,29.50,8
20101010,67.50,8
20101011,39.52,7
20101012,46.65,8
20101013,197.83,21
20101014,29.88,9
20101015,71.00,3
20101016,90.04,9
20101017,111.05,12
20101018,74.38,10
20101019,121.39,16
20101020,44.60,8
20101021,31.45,8
20101022,94.18,17
20101023,102.33,10
20101024,125.45,13
20101025,108.86,13
20101026,78.20,11
20101027,63.99,8
20101028,66.99,7
20101029,68.16,7
20101030,24.56,7
20101031,41.82,10
20101101,106.95,17
20101102,18.86,6
20101103,27.71,6
20101104,112.76,11
20101105,58.17,11
20101106,72.25,11
20101107,75.07,10
20101108,27.23,7
20101109,55.58,10
20101110,65.59,14
20101111,86.73,12
20101112,50.95,12
20101113,40.73,7
20101114,57.81,7
20101115,42.50,12
20101116,105.24,14
20101117,72.68,13
20101118,86.45,14
20101119,110.02,14
20101120,63.11,8
20101121,91.59,9
20101122,100.16,16
20101123,63.47,6
20101124,67.45,10
20101125,0.00,0
20101126,34.15,5
20101127,25.50,5
20101128,63.55,12
20101129,54.57,14
20101130,86.96,15
20101201,23.41,5
20101202,41.94,10
20101203,82.50,16
20101204,63.50,8
20101205,86.37,10
20101206,88.17,10
20101207,76.11,13
20101208,32.00,3
